,subgraph centrality_min,num_max_cliques,num_cliques,betweenness centrality_max,edge betweenness centrality_max,estrada_index_max,betweenness centrality_std,core number_mean,katz centrality_std,degree centrality_std,clique sizes_mean,estrada_index_median,estrada_index_min,core number_std,degree assortativity_std,betweenness centrality_median,katz centrality_min,subgraph centrality_median,second order centrality_std,estrada_index_mean,edge betweenness centrality_std,edge betweenness centrality_mean,num_edges,degree_std,degree centrality_min,clique sizes_std,density,harmonic centrality_std,edge betweenness centrality_median,closeness centrality_std,degree_mean,harmonic centrality_mean,harmonic centrality_median,katz centrality_mean,closeness centrality_mean,katz centrality_median,closeness centrality_min,second order centrality_min,closeness centrality_max,degree assortativity_min,closeness centrality_median,degree_min,katz centrality_max,harmonic centrality_min,edge betweenness centrality_min,second order centrality_mean,core number_min,betweenness centrality_mean,subgraph centrality_std,subgraph centrality_mean,degree assortativity_mean,degree centrality_mean,second order centrality_median,degree centrality_max,second order centrality_max,subgraph centrality_max,harmonic centrality_max,num_nodes,degree centrality_median,degree assortativity_median,degree assortativity_max,degree_median,betweenness centrality_min,graph_clique_number,degree_max,clique sizes_max,core number_median,core number_max,clique sizes_median
feature_info,Minimum of the distribution of The subgraph centrality for a node is the sum of weighted closed walks of all lengths starting and ending at that node.,The number of maximal cliques in the graph,The number of cliques in the graph,Maximum of the distribution of Betweenness centrality of a node v is the sum of the fraction of all-pairs shortest paths that pass through v,Maximum of the distribution of Betweenness centrality of an edge e is the sum of the fraction of all-pairs shortest paths that pass through e,Maximum of the distribution of The Estrada Index is a topological index of protein folding or 3D compactness,Standard deviation of the distribution of Betweenness centrality of a node v is the sum of the fraction of all-pairs shortest paths that pass through v,Mean of the distribution of The core number distribution,Standard deviation of the distribution of Generalisation of eigenvector centrality - Katz centrality computes the centrality for a node based on the centrality of its neighbors,Standard deviation of the distribution of The degree centrality distribution,Mean of the distribution of the distribution of clique sizes,Median of the distribution of The Estrada Index is a topological index of protein folding or 3D compactness,Minimum of the distribution of The Estrada Index is a topological index of protein folding or 3D compactness,Standard deviation of the distribution of The core number distribution,Standard deviation of the distribution of average neighbor degree,Median of the distribution of Betweenness centrality of a node v is the sum of the fraction of all-pairs shortest paths that pass through v,Minimum of the distribution of Generalisation of eigenvector centrality - Katz centrality computes the centrality for a node based on the centrality of its neighbors,Median of the distribution of The subgraph centrality for a node is the sum of weighted closed walks of all lengths starting and ending at that node.,Standard deviation of the distribution of The second order centrality of a given node is the standard deviation of the return times to that node of a perpetual random walk on G,Mean of the distribution of The Estrada Index is a topological index of protein folding or 3D compactness,Standard deviation of the distribution of Betweenness centrality of an edge e is the sum of the fraction of all-pairs shortest paths that pass through e,Mean of the distribution of Betweenness centrality of an edge e is the sum of the fraction of all-pairs shortest paths that pass through e,Number of edges in the graph,Standard deviation of the distribution of the degree of the graph,Minimum of the distribution of The degree centrality distribution,Standard deviation of the distribution of the distribution of clique sizes,Density of the graph,Standard deviation of the distribution of Harmonic centrality of a node u is the sum of the reciprocal of the shortest path distances from all other nodes to u,Median of the distribution of Betweenness centrality of an edge e is the sum of the fraction of all-pairs shortest paths that pass through e,Standard deviation of the distribution of Closeness is the reciprocal of the average shortest path distance,Mean of the distribution of the degree of the graph,Mean of the distribution of Harmonic centrality of a node u is the sum of the reciprocal of the shortest path distances from all other nodes to u,Median of the distribution of Harmonic centrality of a node u is the sum of the reciprocal of the shortest path distances from all other nodes to u,Mean of the distribution of Generalisation of eigenvector centrality - Katz centrality computes the centrality for a node based on the centrality of its neighbors,Mean of the distribution of Closeness is the reciprocal of the average shortest path distance,Median of the distribution of Generalisation of eigenvector centrality - Katz centrality computes the centrality for a node based on the centrality of its neighbors,Minimum of the distribution of Closeness is the reciprocal of the average shortest path distance,Minimum of the distribution of The second order centrality of a given node is the standard deviation of the return times to that node of a perpetual random walk on G,Maximum of the distribution of Closeness is the reciprocal of the average shortest path distance,Minimum of the distribution of average neighbor degree,Median of the distribution of Closeness is the reciprocal of the average shortest path distance,Minimum of the distribution of the degree of the graph,Maximum of the distribution of Generalisation of eigenvector centrality - Katz centrality computes the centrality for a node based on the centrality of its neighbors,Minimum of the distribution of Harmonic centrality of a node u is the sum of the reciprocal of the shortest path distances from all other nodes to u,Minimum of the distribution of Betweenness centrality of an edge e is the sum of the fraction of all-pairs shortest paths that pass through e,Mean of the distribution of The second order centrality of a given node is the standard deviation of the return times to that node of a perpetual random walk on G,Minimum of the distribution of The core number distribution,Mean of the distribution of Betweenness centrality of a node v is the sum of the fraction of all-pairs shortest paths that pass through v,Standard deviation of the distribution of The subgraph centrality for a node is the sum of weighted closed walks of all lengths starting and ending at that node.,Mean of the distribution of The subgraph centrality for a node is the sum of weighted closed walks of all lengths starting and ending at that node.,Mean of the distribution of average neighbor degree,Mean of the distribution of The degree centrality distribution,Median of the distribution of The second order centrality of a given node is the standard deviation of the return times to that node of a perpetual random walk on G,Maximum of the distribution of The degree centrality distribution,Maximum of the distribution of The second order centrality of a given node is the standard deviation of the return times to that node of a perpetual random walk on G,Maximum of the distribution of The subgraph centrality for a node is the sum of weighted closed walks of all lengths starting and ending at that node.,Maximum of the distribution of Harmonic centrality of a node u is the sum of the reciprocal of the shortest path distances from all other nodes to u,Number of nodes in the graph,Median of the distribution of The degree centrality distribution,Median of the distribution of average neighbor degree,Maximum of the distribution of average neighbor degree,Median of the distribution of the degree of the graph,Minimum of the distribution of Betweenness centrality of a node v is the sum of the fraction of all-pairs shortest paths that pass through v,The clique number of a graph is the size of the largest clique in the graph,Maximum of the distribution of the degree of the graph,Maximum of the distribution of the distribution of clique sizes,Median of the distribution of The core number distribution,Maximum of the distribution of The core number distribution,Median of the distribution of the distribution of clique sizes
feature_interpretability,3,3,3,5,4,4,5,5,4,5,3,4,4,5,4,5,4,3,4,4,4,4,5,5,5,3,5,4,4,5,5,4,4,4,5,4,5,4,5,4,5,5,4,4,4,4,5,5,3,3,4,5,4,5,4,3,4,5,5,4,4,5,5,3,5,3,5,5,3
feature_importance,0.025132115939139398,0.019044969597188918,0.01820717560055519,0.022976525581837413,0.02107715676463317,0.016077629157290444,0.019564104693136998,0.010933334769412021,0.019592456701333298,0.017703099520607706,0.019929326903801885,0.01663266840827625,0.01573890194969199,0.011507043716606281,0.020673090252830928,0.02285909774835466,0.017912931367544297,0.01871399705468241,0.020031473648758773,0.015597569623190663,0.018621777481003146,0.01951276346843996,0.013871372006224403,0.020791857387980058,0.013848782384703284,0.019740607407383395,0.013850317436268059,0.019862703526197813,0.020934500980316136,0.01806680526189664,0.017420310025273836,0.016287597427309664,0.016230059469292058,0.014424651396875621,0.01471111928638536,0.01519557159217041,0.01620845840738313,0.015852155943680273,0.01548711763464379,0.014023672359040052,0.014171074074603907,0.003549872032342594,0.016179765484051114,0.01750036501503792,0.013380776838627897,0.014483794147889913,0.003402615990494454,0.016369593574709428,0.01738648686320544,0.016154515272927616,0.015874293602316777,0.01337978033989064,0.014514254908850072,0.014053089335389188,0.013879093749903254,0.016577637781900124,0.013730561269296226,0.009086468557799451,0.012246371846975013,0.010216389130879104,0.010489864442606397,0.0036471808334948494,0.004423987292195645,0.002344008449886428,0.004218913800021737,0.002106678039223021,0.0009095946041530634,0.0007581427697119696,0.000117960070276967
shap_average,0.051237948107400746,0.042307858826493,0.03852509384420647,0.03207233107782027,0.02969165990978331,0.029119064708615125,0.028971959011118695,0.028814527231345085,0.028566216823552676,0.028484821951325845,0.02838935692428795,0.0282068219539694,0.027851543492403867,0.027810043073733918,0.027480064331211355,0.027250963455917102,0.027195907238138466,0.027010739374137786,0.02690503389539693,0.026719863656457246,0.026399089697902903,0.025922800209616417,0.02586691223894311,0.025805727595744704,0.025378384544728096,0.02469027946489919,0.024195112527551795,0.023742226055169447,0.023108225958160457,0.022782582112531688,0.02198375701275468,0.020442800309505373,0.019999800490607216,0.019982311018486368,0.019897978663473894,0.01959369567101933,0.019473651247904254,0.01898141063258312,0.018767661727853248,0.01868611270978916,0.018565871688879673,0.018371545346240168,0.018337125936643172,0.01832760432898068,0.017649365158570123,0.01750377010506516,0.01746136830536018,0.01735343826664843,0.017199518927314285,0.016778951912223224,0.01670656863070681,0.016325677019671903,0.01609274578691728,0.01567957502426119,0.01405711114486215,0.013512679750781511,0.013485305425536123,0.013429703034022111,0.013235201034253493,0.010936106088648392,0.008818343573129016,0.004906937008637332,0.004584000097395145,0.004414036457440009,0.003925428465457124,0.0032037273030742627,0.000854363480030967,0.0006537078776873806,0.00012749788495703958
shap_importance: class 0,-0.0006013892870081278,0.0006641779499806299,0.00047100284685920693,0.0002439355011451667,0.0005162993112124422,0.00020514951684299696,-0.0006950905210293405,0.0006267440386075512,-0.0002987223815413839,0.0003796890949315776,0.00014000950252056153,0.00028859932376731196,0.00015254493333290438,0.00027062374590625186,-0.00048161836495798073,0.0007120518259634669,0.00021065577336335537,0.0004231134224730596,0.0003738648228619661,0.0005993087468163518,-0.0004243205073203098,-0.0001816383448028502,0.0002971735925561591,-0.0003665717125870325,1.4163398680876627e-05,0.00016143049038198936,3.879416225880264e-05,-0.0007747307853251273,-0.0005474243932987885,-0.00019971210610601357,-0.00041773908694489365,-4.806966228380436e-06,0.00021972933040788844,-8.120658119465235e-05,-1.7105340499274172e-05,5.198364618185312e-05,-0.0005187425194653614,-2.340652330393524e-05,0.00026214453467514776,6.169014471107755e-05,-0.0001922490752567163,7.734654981597804e-05,-0.0002141569892512603,0.00029110420558986695,-1.684038933483105e-05,0.00013051953784909168,-0.0001141788656057371,-0.00016863367017329274,-0.0003629755016677438,-9.166905733705973e-05,-0.00015030001101607344,0.0003033866840759623,0.00011768464203293755,-0.00031469100097307576,-0.00018702453076828457,-0.00021934229669431154,-0.00018880539369395827,0.00023007495548200787,5.245306863766686e-05,-0.00016062246082723002,0.00014823157730274375,-8.491272799222396e-05,-0.00012303536760093127,-4.293795999771319e-05,-3.459818720154375e-05,1.3182199726006375e-05,2.0523346858537064e-05,2.206681505977039e-05,-1.3328692381468074e-05
shap_importance: class 1,0.0006158923672182725,-0.0004258306902667862,0.0006553274240687369,-0.0005981395309956413,-0.00038583774237950584,0.0003745958017297599,0.0001613337771724042,-0.0009515557971302765,-0.0007341214178623489,-0.00033404337399083625,8.264125760667735e-05,0.0003389079918722142,9.04322564924901e-06,-0.0006321058297662207,0.0005089367827227655,0.0001751554540050685,-0.0012559973737883957,1.6933265027663835e-05,9.246588146691987e-06,-2.5767481286430166e-05,0.0002598572081285589,0.00033603415164561444,3.232504668113912e-05,-0.0001650482568843088,-0.0007975294245914399,0.00029801072801176977,-0.0007806429077949858,0.00028714226616083686,0.00042466938669198813,0.0007972940221176654,0.00011368471224335698,-0.0008048071966927945,-0.0003827787052208946,-0.0008044668392717638,-0.00031343425796632535,-0.00016640093582709418,0.0001567256143207924,7.287329643869405e-06,-6.532808117203373e-05,-3.147053685558708e-05,0.0002542794138209912,-0.0002294644793253073,0.0005645432960318814,-0.00034138238308444735,1.4831021650333677e-05,0.00032125198839363277,-0.00043331110563579343,7.35354329498848e-05,-0.00017680653543189037,0.00047600881639058,0.0003091244315223848,-0.00026520305312010027,-0.0001458365265653963,0.0006366928401324707,0.0004596015268956775,-0.00013069328148407683,0.0001731469702643631,-0.0002831834737677439,0.0003274786349366576,-3.800114102022022e-08,0.00011903540708270416,9.975930490987664e-05,0.00022197709241006177,0.0002096234108121144,-2.22689570201098e-05,7.544306342737525e-05,1.0453489496771336e-05,-2.074191865154771e-05,1.54693984790137e-05
shap_importance: class 2,-0.0005798734964930522,0.0012528497569729436,-0.000869232404288749,-4.43140776254601e-05,1.569878567314508e-05,-0.00028931702766144874,0.00022550443706943833,0.000461274386967845,0.00034239200530631096,0.00010940556542582393,0.0005395745544785226,-0.0002543386803233546,-0.00018189619945572125,0.0006135176152553325,-0.00013456018868122444,0.000543450374556247,6.787733263802218e-05,-0.0002819929671602362,8.415117585626418e-06,-0.0001416064068521062,-6.883673326061515e-05,0.00034156925346057394,-0.0006218389326699066,-2.1838860293781756e-05,0.00012569626255548607,0.0004724025291346463,-0.00016123234072536454,-0.00041487005296597803,0.0005883151385274846,-0.00016295113091243868,-0.00023327707780361725,0.00042065588992487926,0.00015447341145379963,0.0002422740902647199,-7.67126504310833e-05,-0.0001382587059930644,-0.0002738585397403382,-0.0001715803296488045,-0.0002850892012114743,-0.0005963766856478964,-0.0003348048704371123,0.0005869918139901786,-0.0001756936796527032,0.0006619798986242778,4.294424042268396e-05,-0.00012168531822436134,0.0006199493517935791,0.0002745336021101693,-9.33157039344492e-05,-0.00034576600243792964,-2.345883186619778e-06,-0.00018319842443321313,1.0381636591913587e-05,-0.00014031570629307927,-0.00011381510503292117,0.0001292319767333615,-3.929330585384151e-05,-0.0003699509273920351,-0.0001608627422888434,-0.0001841036062303815,-0.0001631983858401077,-3.9393469961373996e-05,-6.0198778007380615e-05,4.004597806189307e-05,7.944069626663072e-05,2.3702682206682263e-05,-8.649450722422947e-05,-3.6720492204087315e-06,7.747985073294628e-06
shap_importance: class 3,0.00041693278107814206,-0.0004648214451949606,8.598347197745206e-05,-1.1144360905834964e-06,-0.00022965806434655336,-0.0001503143542443585,0.0005551533772053323,-8.018803776132128e-05,-0.00014566188028910038,-6.318317023825455e-05,-9.085178103912332e-05,-0.0006917544155571536,-0.0003218901821308396,0.00020225551496807245,0.00021333863091511113,-0.00038991409781926755,0.0003724445084259095,0.00017112197044844677,2.8646712402310053e-05,-0.0004438169607099004,5.5889209138024755e-05,-0.0005963598722480123,0.0007523737066947216,0.00023313949990641042,0.0005389984238033349,-0.00026595224642010607,0.00034701013706522004,0.0007420525166451776,-0.0007130353885815075,-0.0010831033621861007,0.0001911481344918496,6.489854384746628e-05,-6.063371931805919e-05,0.0004458577040479151,7.630772024218329e-05,0.0006907938903207795,0.0004036480942214044,-5.3041283360140245e-05,0.00011269071539474033,0.0005716577601764393,-0.0001048125562130802,0.000534637230503056,0.0003881444934632638,-0.000883342086408445,-0.0001299366673388152,-0.0002852001415131114,0.0003738795228689582,0.0003603953286851599,0.0003049505088103486,0.00027636594388601594,3.689787112023229e-05,3.025799732465308e-05,-0.00037077514560565454,0.00030113849959878617,-0.0001386817587363949,0.0002066388246499899,-0.0001604868060139126,0.00030303855767180375,1.4192779115008384e-05,0.00024516055434940434,-5.211333554516613e-05,-7.395745242404366e-06,9.620511214894374e-05,-0.00036856161060085487,-0.0001021768227684124,-0.00030107230598220793,4.957718069077674e-06,1.1529395630160227e-05,-1.1491098346230178e-05
shap_importance: class 4,0.0007485812793521718,-0.00020786569237286453,-0.0006382799526721148,0.00032514256454478033,0.0004200704646102949,-0.00026649743905356486,5.435839587062537e-05,-4.831384585273258e-05,0.0007003286204325604,-0.00020088450243455733,-0.0010149789355418646,0.00035723005052252203,0.00022018347944648259,-0.00024197445938284329,8.173877198788073e-05,-0.0002944724651305016,0.00037318621052135904,3.9854119003815796e-05,-0.0005696525158396902,-0.00023460848868171182,-0.00021858523544967469,5.4834183479190477e-05,-0.0003028118918458083,0.0001742670494243746,-0.0002804650381872326,-0.0007492671477338224,0.0005724480826263516,0.00027572945688401007,0.00035893682206873385,0.00015602060763297666,0.00017020328155500258,1.7173787763109515e-05,-0.0002466697488340287,0.00028393788153754473,0.00029402247491328715,0.0001355076263959016,0.00020469232353521893,0.00019556342302478352,-0.0001096312910711275,0.0001757797998339282,2.274445471286482e-05,-0.0011251369930201708,-0.0003102847429114465,0.0001687968254593371,-0.00033984220310081663,-0.00010045354659810586,-0.0006725300931186058,-0.00048418690536539626,7.410194202820413e-05,6.164876879473082e-05,-0.0002339800511310385,-3.449683688990075e-05,0.00018508340513341383,-0.00017001388529068053,-0.00024326996014324356,-0.00010725829122090508,0.0002753543804650722,0.00014511687834259715,0.00022635088895457494,0.00011685346351620647,-5.588597736235813e-05,0.00021012702468841765,-0.00014532393755310648,0.00020397385876518988,-8.438317740710502e-06,0.00013187506488745323,2.240860836432367e-05,-1.0382287508402401e-06,-6.374847287972462e-06
shap_importance: class 5,-0.0006001436441474088,-0.0008185098791189597,0.0002951986140554681,7.448997902173855e-05,-0.0003365727547698262,0.00012638350238661442,-0.0003012594662884589,-7.960744831066561e-06,0.00013578505395396237,0.00010901638630624834,0.00034360540197522446,-3.864427028154094e-05,0.00012201474315792402,-0.00021231658698059647,-0.00018783563198655463,-0.0007462710915750141,0.0002318335488397507,-0.0003690298097927512,0.00014947927484309975,0.0002464905907137979,0.0003959960587640156,4.5560628465484295e-05,-0.0001572215214163069,0.00014605228043433987,0.0003991363777389705,8.337564662552487e-05,-1.6377133430020914e-05,-0.00011532340139892055,-0.00011146156540791014,0.0004924519694539085,0.0001759800364583027,0.00030688594138572053,0.00031587943151129266,-8.639625538376462e-05,3.6922053741214e-05,-0.0005736255210783752,2.7535027128285054e-05,4.51773836442275e-05,8.521332338474753e-05,-0.0001812804822179605,0.0003548426333730538,0.00015562587803626606,-0.00025255237767973467,0.00010284353981940881,0.0004288439977014428,5.556748009285178e-05,0.0002261911896975995,-5.564378820652218e-05,0.00025404529019553,-0.0003765884692963365,4.0603642691116815e-05,0.000149253633042599,0.00020346198841278393,-0.00031281074717442325,0.00022318982778516511,0.00012142306801594172,-5.991584516772413e-05,-2.5095990336629664e-05,-0.00045961262935506213,-1.7249949666978476e-05,3.930714362184621e-06,-0.0001781843864022926,1.0375878602413398e-05,-4.2143677040628665e-05,8.804158846414592e-05,5.6869295734690575e-05,2.815134443551956e-05,-8.144014067133887e-06,7.977254463362396e-06
